ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1777039200000,2026-04-24T14:00:00+00:00,1.4159,1.4169,1.4083,1.4123,103742.0,146571.2862,1.4123,1.4123,1.4123,1.4123,1.4123,1.4123,,,,,
1777042800000,2026-04-24T15:00:00+00:00,1.4123,1.4266,1.4048,1.4261,423795.0,599257.9203,1.4153666666666669,1.413614285714286,1.4135545454545455,1.4128411764705884,1.4125732673267328,1.4124373134328359,,,,,
1777046400000,2026-04-24T16:00:00+00:00,1.4261,1.4318,1.4138,1.4179,578712.0,823710.9115,1.41592962962963,1.414022448979592,1.4139495867768594,1.413039561707036,1.412678747181649,1.4124916685230564,,,,,
1777050000000,2026-04-24T17:00:00+00:00,1.4179,1.4206,1.4102,1.4141,143018.0,202551.2341,1.4155230452674898,1.4140298347910594,1.4139632607062358,1.4130811475224465,1.4127068908018143,1.4125076718213345,,,,,
1777053600000,2026-04-24T18:00:00+00:00,1.4141,1.417,1.4092,1.4113,116530.0,164643.3104,1.4145845907636032,1.413769850525244,1.413721146096578,1.4130112985999976,1.412679031578016,1.4124956551862964,,,,,
1777057200000,2026-04-24T19:00:00+00:00,1.4113,1.4142,1.4083,1.4128,77707.0,109616.7086,1.4141880150383581,1.4136774838085542,1.4136374055423435,1.41300301238039,1.4126814269923127,1.4124986834929003,,,,,
1777060800000,2026-04-24T20:00:00+00:00,1.4128,1.4163,1.408,1.4144,218668.0,308420.0259,1.4142351228076118,1.4137462948744062,1.4137067323112213,1.4130577962086102,1.4127154581409798,1.4125176020651105,,,,,
1777064400000,2026-04-24T21:00:00+00:00,1.4144,1.4183,1.4069,1.4075,140613.0,198353.4921,1.4127384288503648,1.4131514096482722,1.413142483919292,1.4128398434161156,1.4126121817421484,1.412467675676403,,,,,
1777068000000,2026-04-24T22:00:00+00:00,1.4075,1.4075,1.3983,1.4018,120741.0,169444.3413,1.410307666883617,1.4120703230151035,1.412111349017538,1.4124069083801896,1.412398079133393,1.4123615296497722,,,,,
1777071600000,2026-04-24T23:00:00+00:00,1.4018,1.4073,1.401,1.4071,57285.0,80481.5953,1.409594852020591,1.411596958918427,1.4116557718341256,1.4121987943260645,1.412293166675306,1.4123091761209188,,,,,
1777075200000,2026-04-25T00:00:00+00:00,1.4071,1.4094,1.401,1.4075,98438.0,138440.4986,1.4091293293493485,1.4112067723547672,1.4112779743946595,1.4120145278819052,1.4121982524837158,1.4122613236222032,,,,,
1777078800000,2026-04-25T01:00:00+00:00,1.4075,1.4105,1.4014,1.4062,127910.0,179876.1376,1.4084783672717154,1.4107299368924084,1.4108163403587812,1.411786507180654,1.4120794752068104,1.4122010119443704,,,,,
1777082400000,2026-04-25T02:00:00+00:00,1.4062,1.4104,1.4025,1.4084,66847.0,93961.9654,1.4084609523224454,1.4105080381407507,1.4105966730534376,1.4116537029774912,1.4120066143116259,1.4121631909299985,,,,,
1777086000000,2026-04-25T03:00:00+00:00,1.4084,1.4165,1.4078,1.4148,142944.0,201972.5328,1.4098696295841242,1.41091679641306,1.4109787936849432,1.4117770871744524,1.4120619288797125,1.4121894278361677,,,,,
1777089600000,2026-04-25T04:00:00+00:00,1.4148,1.4176,1.4117,1.4143,125833.0,178085.1537,1.4108541563432078,1.4112390062784828,1.4112807215317664,1.411876024932317,1.412106247119718,1.4122104285542159,51.65562913907266,0.009935714285714286,21.13587347232198,10.136592379582874,
1777093200000,2026-04-25T05:00:00+00:00,1.4143,1.4144,1.4098,1.4127,56428.0,79652.7601,1.411264343822495,1.4113781485376748,1.4114097468470606,1.4119083376800692,1.412118004602496,1.4122152999118853,50.222882615155996,0.009554591836734705,20.409035083035075,11.20841565653853,
