ts,dt,open,high,low,close,base_volume,quote_volume,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1769788800000,2026-01-30T16:00:00+00:00,338.5,340.84,336.8,339.11,4472.52,1516023.3595,339.11,339.11,339.11,339.11,339.11,,,,,
1769875200000,2026-01-31T16:00:00+00:00,339.11,339.11,339.11,339.11,0.0,0.0,339.11,339.11,339.11,339.11,339.11000000000007,,,,,
1769961600000,2026-02-01T16:00:00+00:00,339.11,345.42,335.95,342.27,11677.02,3970593.5912,339.4109523809524,339.39727272727276,339.23392156862747,339.1725742574257,339.1414427860698,,,,,
1770048000000,2026-02-02T16:00:00+00:00,342.27,353.8,340.75,346.51,17448.35,6033765.51,340.08705215419496,340.04388429752066,339.5192579777009,339.3178698166846,339.2147617633228,,,,,
1770134400000,2026-02-03T16:00:00+00:00,346.51,346.56,334.6,334.92,15943.26,5455527.2982,339.59495194903354,339.57807663410966,339.3388949197518,339.2307832856612,339.1720278154291,,,,,
1770220800000,2026-02-04T16:00:00+00:00,334.92,346.97,307.58,317.35,60017.25,19904592.7938,337.4763850967446,337.55734239464516,338.4765853150557,338.7975004483214,338.95489321030044,,,,,
1770307200000,2026-02-05T16:00:00+00:00,317.35,334.81,317.35,321.83,29348.84,9612409.2225,335.9862531827689,336.12758399513194,337.8237780477986,338.4615103404338,338.7844962629343,,,,,
1770393600000,2026-02-06T16:00:00+00:00,321.83,327.12,321.64,323.98,6634.94,2150112.9033,334.8428004986957,335.0232581773927,337.2808847910222,338.1747477594351,338.63718784240757,,,,,
1770480000000,2026-02-07T16:00:00+00:00,323.98,325.6,323.33,324.44,927.87,301116.809,333.852057594058,334.0611437976297,336.77732068157036,337.90277255627797,338.49592229173686,,,,,
1770566400000,2026-02-08T16:00:00+00:00,324.44,326.44,317.7,325.13,16591.03,5340713.7383,333.021385442243,333.2492216342088,336.3205630077833,337.64984636704474,338.3629280400778,,,,,
1770652800000,2026-02-09T16:00:00+00:00,325.13,328.15,314.87,317.83,14405.11,4650867.9994,331.57458682869606,331.84747421291706,335.59544288983096,337.25737416175673,338.1586202983855,,,,,
1770739200000,2026-02-10T16:00:00+00:00,317.83,321.46,311.89,312.9,11611.34,3678182.3192,329.7960547497726,330.12497655719733,334.7054255216023,336.77504992092986,337.90729074317767,,,,,
1770825600000,2026-02-11T16:00:00+00:00,312.9,313.93,310.3,310.87,10115.75,3157570.2508,327.9935733450324,328.37452414290664,333.7707029521277,336.2620786353669,337.6382629745888,,,,,
1770912000000,2026-02-12T16:00:00+00:00,310.87,316.87,304.31,306.75,14820.79,4582096.7773,325.97037588360075,326.4086583117333,332.7110675422403,335.677681038627,337.3309170743442,,,,,
1770998400000,2026-02-13T16:00:00+00:00,306.75,308.48,305.0,305.73,3919.88,1203347.5379,324.0427210375436,324.5287802833939,331.65298646215246,335.0846576517235,337.0164800885298,23.81550047066203,10.738571428571435,9.77118531328987,34.71464680058532,
1771084800000,2026-02-14T16:00:00+00:00,305.73,307.47,305.19,305.96,639.17,195719.8667,322.3205571292061,322.8407093485399,330.6454183655975,334.50793175763,336.7074603861564,24.11040584727823,10.134387755102049,9.614164745209774,34.15679088172214,
1771171200000,2026-02-15T16:00:00+00:00,305.96,307.43,305.05,305.59,2207.26,676536.8956,320.7271707359484,321.27246304412716,329.6628529394957,333.9352994455977,336.3978339146524,23.949794423153847,9.580502915451902,9.443567437207331,33.6550787594764,
1771257600000,2026-02-16T16:00:00+00:00,305.59,306.95,296.78,300.11,8868.07,2672686.4526,318.76363066585805,319.34860276738834,328.5039175301037,333.2654915357839,336.03676094037723,21.649500603088157,9.622609850062483,8.730655107860905,37.2532104853139,
1771344000000,2026-02-17T16:00:00+00:00,300.11,305.41,300.08,304.6,9785.31,2964017.0305,317.4147134595858,318.00782069762573,327.5665089995114,332.6978580400258,335.72395734893075,27.77081522425729,9.315994860772308,8.373861746241175,35.73079343459168,
1771430400000,2026-02-18T16:00:00+00:00,304.6,306.0,300.68,303.45,4486.82,1361367.6077,316.08474074914903,316.684382452387,326.6207635485502,332.1186925342827,335.4028234449613,27.184989701988414,9.030566656431429,8.488164457243121,34.22726635575937,
1771516800000,2026-02-19T16:00:00+00:00,303.45,315.97,302.52,315.42,8315.88,2566219.3548,316.02143210637297,316.5694385930791,326.1815179191953,331.78802535538597,335.20398938083235,41.11017328349222,9.34624046668633,15.235218000910148,30.708993541558545,
