ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1773878400000,2026-03-19T00:00:00+00:00,250.1,250.75,249.86,250.42,1682.14,420942.5809,250.42,250.42,250.42,250.42,250.42,250.42,,,,,
1773892800000,2026-03-19T04:00:00+00:00,250.42,250.42,249.39,249.39,1612.0,402861.126,250.1911111111111,250.32190476190473,250.32636363636362,250.37960784313725,250.399603960396,250.4097512437811,,,,,
1773907200000,2026-03-19T08:00:00+00:00,249.39,251.71,249.32,251.18,3482.64,872851.5557,250.41086419753088,250.4036281179138,250.40396694214874,250.41099577085737,250.41505734731885,250.41741541050965,,,,,
1773921600000,2026-03-19T12:00:00+00:00,251.18,251.81,247.64,249.66,16825.45,4203417.1554,250.24400548696846,250.3328063923982,250.33633358377156,250.38154495631395,250.40010571667887,250.4098789387633,,,,,
1773936000000,2026-03-19T16:00:00+00:00,249.66,249.99,247.8,249.0,8338.48,2075024.7639,249.9675598231977,250.20587245026505,250.2148487125196,250.327366722733,250.37238085100205,250.3958502926065,,,,,
1773950400000,2026-03-19T20:00:00+00:00,249.0,249.94,248.85,249.86,2137.18,532772.565,249.94365764026486,250.17293221690647,250.18258973865417,250.30903861595917,250.36223469553664,250.39051844889897,,,,,
1773964800000,2026-03-20T00:00:00+00:00,249.86,250.03,249.22,249.49,1380.5,344674.9236,249.8428448313171,250.10789105339157,250.11962703514016,250.27691945454902,250.3449627213676,250.38155806632287,,,,,
1773979200000,2026-03-20T04:00:00+00:00,249.49,249.71,248.78,249.57,1165.41,290633.6867,249.78221264657998,250.05666333402093,250.0696609410365,250.24919712299808,250.32961692490485,250.37348286168285,,,,,
1773993600000,2026-03-20T08:00:00+00:00,249.57,249.68,247.32,247.68,2257.0,560497.6,249.3150542806733,249.83031444506656,249.8524190373059,250.14844429464523,250.27714926302556,250.34668203718851,,,,,
1774008000000,2026-03-20T12:00:00+00:00,247.68,248.95,246.8,248.91,8818.44,2185538.4392,249.22504221830147,249.74266545029832,249.766744579369,250.09987785171796,250.2500770003914,250.3323866935349,,,,,
1774022400000,2026-03-20T16:00:00+00:00,248.91,249.18,246.18,248.16,6186.41,1534229.1032,248.98836616979003,249.59193540741276,249.62067689033546,250.0238042104741,250.20868933701732,250.31077090553953,,,,,
1774036800000,2026-03-20T20:00:00+00:00,248.16,250.53,247.72,249.78,4762.73,1185478.7311,249.16428479872556,249.6098463209925,249.63516080939587,250.01424326104376,250.20020043925462,250.30548960299686,,,,,
1774051200000,2026-03-21T00:00:00+00:00,249.78,250.0,249.54,249.91,823.12,205597.1198,249.32999928789766,249.63843238565985,249.66014619035988,250.01015529002245,250.19445389590305,250.30155438306656,,,,,
1774065600000,2026-03-21T04:00:00+00:00,249.91,250.03,249.15,249.78,2573.81,643021.9613,249.42999944614263,249.651915015597,249.67104199123625,250.0011295923745,250.18624688806338,250.29636478721517,,,,,
1774080000000,2026-03-21T08:00:00+00:00,249.78,250.02,249.73,249.73,399.04,99700.9777,249.4966662358887,249.65935168077823,249.67640181021477,249.99049705934019,250.17721229622055,250.29072931669563,47.151114781172595,1.7542857142857184,11.115635179153143,22.719869706840388,
1774094400000,2026-03-21T12:00:00+00:00,249.73,250.17,249.56,250.07,1741.06,434975.0149,249.62407373902454,249.69846104451364,249.7121834638316,249.993614821719,250.17508928045382,250.28853300508672,48.70213946605835,1.6725510204081662,10.82606308339948,22.85400524678173,
1774108800000,2026-03-21T16:00:00+00:00,250.07,250.14,249.66,249.83,368.1,91981.7439,249.66983513035242,249.71098856408375,249.72289405802871,249.98719855420063,250.16825582935573,250.28397048762318,47.639305779142866,1.587368804664725,10.592230022912355,22.36037963698473,
1774123200000,2026-03-21T20:00:00+00:00,249.83,250.21,249.07,249.24,781.2,195159.3057,249.5743162124963,249.66613251036148,249.6789945982079,249.95789665011435,250.14987452580414,250.27358272157718,45.03726140404097,1.555413890045817,10.037708705770726,23.899206028573033,
1774137600000,2026-03-22T00:00:00+00:00,249.24,250.0,248.86,249.09,798.82,199260.9805,249.46669038749712,249.6112627474699,249.62544963473445,249.92386148736477,250.12888691143178,250.26180577907394,44.37367330753252,1.5257414693282578,9.501997842063984,23.60683788223149,
1774152000000,2026-03-22T04:00:00+00:00,249.09,249.99,248.99,249.67,2032.41,507248.0732,249.51187030138667,249.6168567715204,249.6294996679404,249.9139061349191,250.1198000418985,250.2559171643568,47.58931650383335,1.4881885072333823,9.045930530512328,22.47378068035293,
1774166400000,2026-03-22T08:00:00+00:00,249.67,250.01,249.45,249.8,1674.32,418125.0496,249.57589912330076,249.63429898375657,249.64499969812763,249.9094392276674,250.11346736780146,250.25138067515923,48.31057217141923,1.4218893281452838,8.891924115224633,21.84155761670091,
1774180800000,2026-03-22T12:00:00+00:00,249.8,250.0,248.83,249.58,3105.02,775109.9645,249.57681042923394,249.6291276519702,249.63909063466147,249.8965200422687,250.10290365754796,250.2447002704313,47.12857155248985,1.4038972332777626,8.362604173961508,23.695853782126406,
1774195200000,2026-03-22T16:00:00+00:00,249.58,249.77,249.08,249.16,522.31,130290.0551,249.48418588940416,249.58444882797306,249.59553694060133,249.8676369033562,250.08423229799254,250.2339072329146,44.87144024271364,1.3529045737579222,8.057958208535023,22.832624326099076,
1774209600000,2026-03-22T20:00:00+00:00,249.16,250.01,248.38,249.41,2911.53,725182.7294,249.46770013620323,249.5678346538804,249.5786699460012,249.84969035812657,250.07088116337883,250.22570915099504,46.51351163676544,1.3726971042037845,7.37450330797629,24.538485116929103,
1774224000000,2026-03-23T00:00:00+00:00,249.41,249.41,247.21,247.33,1896.98,470513.6825,248.99265566149143,249.35470754398705,249.37424540545567,249.75087897153335,250.01660628885648,250.19689612461698,36.71487857159498,1.4317901681892278,6.56513155395005,27.682168664919637,
1774238400000,2026-03-23T04:00:00+00:00,247.33,247.67,245.35,246.08,3806.62,937811.2763,248.34539884782666,249.0428306350359,249.07476855041423,249.60692293343402,249.93865368907714,250.15593198407353,32.309814835625986,1.4952337276042826,5.837528861475825,33.499575882132234,
1774252800000,2026-03-23T08:00:00+00:00,246.08,254.56,245.96,251.05,10727.89,2688874.1343,248.9464213260874,249.23398962217536,249.2543350458311,249.66351419094642,249.96066054671917,250.164828183237,55.2827416200654,2.0027170327754047,28.620765025757088,23.224379455352846,
1774267200000,2026-03-23T12:00:00+00:00,251.05,254.32,250.85,251.73,13219.6,3338341.4056,249.56499436473464,249.4717048962539,249.4793954962101,249.744552850125,249.9956969715366,250.18040203216003,57.412404934208354,2.107522959005733,25.25479408088232,20.493055313978108,41.15312590384379
1774281600000,2026-03-23T16:00:00+00:00,251.73,252.59,250.47,251.65,5281.48,1328575.9753,250.02832895034916,249.67916157280115,249.6767231783728,249.81927626776715,250.02845544734777,250.19502489751167,57.06805925188158,2.10841417621961,23.4409676360954,20.308580944329297,38.72503225970344
1774296000000,2026-03-23T20:00:00+00:00,251.65,252.42,251.3,251.86,1262.79,317933.1968,250.4353669613827,249.8868604706296,249.87520288942983,249.89930464942336,250.06472365631117,250.21159181395436,57.78384260526051,2.0378131636324928,22.52072752559144,19.511311349382606,36.47037387585883
1774310400000,2026-03-24T00:00:00+00:00,251.86,252.04,250.44,250.5,1585.53,398029.1173,250.4497298588532,249.94525471152204,249.93200262675438,249.92286132983813,250.07334298984955,250.21446154714886,51.76464489324324,2.0065407948016003,21.2380237609014,21.461430180148266,33.902719080153304
1774324800000,2026-03-24T04:00:00+00:00,250.5,252.35,249.76,251.94,6707.65,1683231.5534,250.78090100133028,250.13523045328185,250.11454784250398,250.00196480709937,250.11030649500105,250.23163108399316,56.88572473781357,2.0482164523157715,19.319752676161073,21.894381625691466,31.927307451313244
1774339200000,2026-03-24T08:00:00+00:00,251.94,252.21,250.9,251.47,3845.26,967406.6398,250.93403411214578,250.2623513624931,250.23777076591273,250.05953481466412,250.13723111886242,250.2439531627594,54.83924439057123,1.9954867057217882,18.413819876723462,20.86772053066655,30.092996653104617
1774353600000,2026-03-24T12:00:00+00:00,251.47,254.66,249.72,253.95,5777.33,1455959.8925,251.60424875389117,250.6135559946366,250.57524615082974,250.21210207683416,250.21273149274631,250.28082925069214,62.50443107896414,2.2058090838845175,23.401809186223126,17.52956932882943,28.968250319286348
1774368000000,2026-03-24T16:00:00+00:00,253.95,254.79,251.33,251.82,2903.47,734867.6422,251.65219347524868,250.72845542371883,250.6884055916634,250.27515689735048,250.24455859189985,250.29614438252605,54.02327507072592,2.295394149321336,21.286695946320876,15.642177636343163,27.990863687845472
1774382400000,2026-03-24T20:00:00+00:00,251.82,255.19,251.55,253.43,7510.07,1905499.4868,252.0472615918601,250.98574538336464,250.93764144696672,250.3988762347093,250.30763663958498,250.327327025486,58.5964022755708,2.391437424369811,20.167119050176062,13.941540963183744,27.295244275859353
1774396800000,2026-03-25T00:00:00+00:00,253.43,253.82,252.28,252.98,3184.45,805754.3517,252.25453679366896,251.17567439447276,251.1233104063334,250.50009677452462,250.36055472592983,250.35372178145133,56.893045001314135,2.3306204654862523,19.21527677110446,13.283531849876553,26.649311964729385
1774411200000,2026-03-25T04:00:00+00:00,252.98,253.32,252.77,253.32,7698.56,1947745.2767,252.49130639507584,251.37989588071346,251.32300946030307,250.61068121473934,250.41915760264408,250.38323698760607,57.889093476374875,2.2034332893800905,18.87268147820912,13.046695527454357,26.049517675822987
1774425600000,2026-03-25T08:00:00+00:00,253.32,254.39,253.18,254.18,5234.74,1327751.4072,252.86657164061455,251.64657246350265,251.58273587300278,250.75065450043584,250.4936297293244,250.42101572404783,60.38266918361068,2.1324737687100823,21.691810290895752,12.517916569960558,26.104310963235292
1774440000000,2026-03-25T12:00:00+00:00,254.18,254.95,251.74,253.6,8079.68,2049723.5816,253.029555720478,251.8326131812643,251.7661235209116,250.86239353963444,250.55514201191204,250.45264740838567,57.89285376756535,2.2094399280879324,19.44073201831179,15.874212773958,24.96108720223013
1774454400000,2026-03-25T16:00:00+00:00,253.6,254.59,252.09,252.62,2135.92,541805.0431,252.93854333814954,251.90760240209627,251.84374865537418,250.9313192831782,250.59603028890388,250.4742131058147,53.85229154946143,2.230194218938794,17.884114545490913,14.603166141148884,23.89952228129676
1774468800000,2026-03-25T20:00:00+00:00,252.62,253.19,252.2,252.54,603.26,152371.4369,252.8499781518941,251.96783074475377,251.90704423215834,250.99440480148493,250.63452473862853,250.4947681992892,53.52388405733838,2.141608917586024,17.293594784701735,14.12098078304794,22.913783426144352
1774483200000,2026-03-26T00:00:00+00:00,252.54,253.38,252.08,253.0,3039.91,768007.1532,252.8833163403621,252.06613257858675,252.00640384741666,251.07305559358355,250.6813658329131,250.5196958788983,55.21507726361672,2.0814939949013067,17.17411764717316,13.491032326282584,22.13498852746258
1774497600000,2026-03-26T04:00:00+00:00,253.0,253.02,251.98,252.34,5091.97,1285187.1024,252.7625793758372,252.09221519014991,252.03673077037877,251.12273968795284,250.7142100738455,250.53780835771525,52.275836404029405,2.007101566694072,16.538478864453985,13.347589033077487,21.316549867875977
1774512000000,2026-03-26T08:00:00+00:00,252.34,253.09,251.59,251.63,5949.8,1501104.7581,252.51089507009561,252.04819469584993,251.99975524579887,251.1426322492096,250.73234452782876,250.54867593624547,49.23923436062098,1.970880026215924,15.639398324408862,14.035411448805334,20.180025854029683
