ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1770393600000,2026-02-06T16:00:00+00:00,1.0615,1.112,1.0391,1.0705,7476474.0,8040111.0323,1.0705,1.0705,1.0705,1.0705,1.0705,1.0705,,,,,
1770480000000,2026-02-07T16:00:00+00:00,1.0705,1.1039,1.0508,1.0557,9700645.0,10471789.6305,1.067211111111111,1.0690904761904763,1.0691545454545455,1.0699196078431374,1.0702069306930693,1.070352736318408,,,,,
1770566400000,2026-02-08T16:00:00+00:00,1.0557,1.0629,0.9847,1.0082,6011621.0,6136379.8221,1.0540975308641976,1.0632913832199546,1.0636132231404958,1.0674992310649754,1.0689790706793452,1.0697343011311602,,,,,
1770652800000,2026-02-09T16:00:00+00:00,1.0082,1.045,0.9809,0.997,7567280.0,7633858.7783,1.0414091906721537,1.0569779181513876,1.057557475582269,1.0647345553369372,1.067553742547081,1.0690105767417954,,,,,
1770739200000,2026-02-10T16:00:00+00:00,0.997,1.0063,0.9377,0.9469,7337904.0,7129119.9366,1.020407148300564,1.0464943068988746,1.04749770507479,1.0601135923825473,1.0651645595263466,1.0677955461274493,,,,,
1770825600000,2026-02-11T16:00:00+00:00,0.9469,1.01,0.9431,0.9548,9011458.0,8779241.8259,1.0058277820115498,1.0377615157656486,1.0390706409770818,1.0559836475832318,1.0629791227040428,1.0666712123351363,,,,,
1770912000000,2026-02-12T16:00:00+00:00,0.9548,1.0258,0.9324,1.0084,9298887.0,9037021.2342,1.006399386008983,1.034965180930825,1.036282400888256,1.0541176221878108,1.061898347997032,1.0660913992770753,,,,,
1770998400000,2026-02-13T16:00:00+00:00,1.0084,1.0682,1.0067,1.0678,6194819.0,6398237.3377,1.0200439668958756,1.0380923065564607,1.039147637171142,1.054654186023583,1.0620152123931306,1.0661084002792935,,,,,
1771084800000,2026-02-14T16:00:00+00:00,1.0678,1.1011,1.0462,1.0566,8381181.0,8986694.7605,1.0281675298079032,1.039854944027274,1.040734215610129,1.0547304924540306,1.061907980464554,1.066013789331241,,,,,
1771171200000,2026-02-15T16:00:00+00:00,1.0566,1.074,1.0231,1.0298,6950319.0,7276731.6847,1.0285303009617024,1.0388973303103908,1.039740196009208,1.0537528260832845,1.0612721788711965,1.0656534531189898,,,,,
1771257600000,2026-02-16T16:00:00+00:00,1.0298,1.0673,1.0281,1.0391,5034250.0,5284278.6376,1.0308791229702128,1.0389166321855916,1.0396819963720074,1.0531782054525674,1.060833125824242,1.0653892396551194,,,,,
1771344000000,2026-02-17T16:00:00+00:00,1.0391,1.0642,1.027,1.0518,6107100.0,6379301.1687,1.03552820675461,1.0401436195964875,1.0407836330654612,1.0531241581799178,1.0606542520455442,1.065254023340143,,,,,
1771430400000,2026-02-18T16:00:00+00:00,1.0518,1.0534,0.9879,0.9909,5780131.0,5850488.6587,1.0256108274758078,1.0354537510634887,1.0362487573322374,1.0506839951140388,1.0592729797278106,1.0645141823118829,,,,,
1771516800000,2026-02-19T16:00:00+00:00,0.9909,1.055,0.9805,1.0397,7845052.0,7950516.7541,1.0287417547034061,1.0358581557241089,1.0365625066656703,1.0502532502076058,1.0588853959708244,1.0642672750251976,,,,,
1771603200000,2026-02-20T16:00:00+00:00,1.0397,1.108,1.0168,1.0596,9357281.0,9967685.2399,1.0355991425470936,1.038119283750384,1.0386568242415184,1.0506197894151508,1.0588995465456597,1.0642208344776831,48.74452891038932,0.06422857142857144,16.436832740213536,20.440391459074736,
1771689600000,2026-02-21T16:00:00+00:00,1.0596,1.0629,1.0056,1.0153,7482363.0,7743179.4277,1.0310882219810729,1.0359460186312999,1.0365334765831986,1.0492346996341646,1.0580361891883199,1.0637340600052685,43.917937255528074,0.06373367346938777,15.381290126322881,20.382971229126298,
1771776000000,2026-02-22T16:00:00+00:00,1.0153,1.0291,0.9713,0.9857,9276108.0,9279979.1896,1.0210019504297234,1.0311606835235572,1.0319122514392713,1.0467431427857659,1.0566037894024125,1.0629576016967583,40.99689202094304,0.06330983965014578,14.378242964917565,22.92361022367895,
1771862400000,2026-02-23T16:00:00+00:00,0.9857,0.9925,0.9524,0.972,9378935.0,9144613.579,1.0101126281120072,1.0255263327117898,1.0264656831266104,1.0438120391471084,1.0549284668399885,1.0620525509336065,39.68137462228301,0.061651993960849645,13.710245171576204,24.048314004719597,
1771948800000,2026-02-24T16:00:00+00:00,0.972,1.1134,0.9604,1.1029,10918559.0,11192208.7109,1.0307320440871166,1.032895253405905,1.0334142573878276,1.0461292140825158,1.0558783981896918,1.062458993212874,54.65375249114077,0.06817685153507466,24.179165616566785,20.193432011495197,
1772035200000,2026-02-25T16:00:00+00:00,1.1029,1.2589,1.1029,1.1195,20074706.0,23556071.9114,1.0504582565122018,1.0411433245101045,1.0412402339889342,1.0490064998047701,1.0571382318889058,1.0630265654197113,56.140562665179694,0.07444993356828362,34.519815891032515,17.171098513753208,
1772121600000,2026-02-26T16:00:00+00:00,1.1195,1.146,1.0835,1.1065,11150794.0,12453184.1236,1.0629119772872682,1.0473677697948565,1.04717293998994,1.0512611468712498,1.0581156926435809,1.0634591369080724,54.62991006250035,0.0735963668848348,32.425876645590435,18.012372905392315,
1772208000000,2026-02-27T16:00:00+00:00,1.1065,1.111,1.0268,1.0651,12840321.0,13683751.3831,1.063398204556764,1.0490565536239178,1.0488026727181272,1.051803846993946,1.0582539957595496,1.063475463904012,50.014352563075136,0.07435376925020375,29.80303063994249,22.002331261859883,
