ts,dt,open,high,low,close,base_volume,quote_volume,ema8,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1770480000000,2026-02-07T16:00:00+00:00,277.22,278.23,276.97,277.38,5251.8,1458802.5317,277.38,277.38,277.38,277.38,277.38,277.38,,,,,
1770566400000,2026-02-08T16:00:00+00:00,277.38,278.43,273.01,273.33,12083.5,3324076.8832,276.48,276.9942857142857,277.01181818181817,277.22117647058826,277.299801980198,277.3397014925373,,,,,
1770652800000,2026-02-09T16:00:00+00:00,273.33,275.44,271.8,274.48,21826.71,5974307.0529,276.03555555555556,276.7548299319728,276.78165289256197,277.1136793540946,277.2439643172238,277.31124675131804,,,,,
1770739200000,2026-02-10T16:00:00+00:00,274.48,279.86,272.95,279.78,29210.91,8040544.5816,276.86765432098764,277.042941367023,277.05422990232904,277.2182409480517,277.2941828455956,277.3358114602601,,,,,
1770825600000,2026-02-11T16:00:00+00:00,279.78,280.29,267.93,267.93,36968.5,10165121.147,274.88150891632375,276.17504218921124,276.22475445666277,276.85399620499084,277.1087534823165,277.24222129647643,,,,,
1770912000000,2026-02-12T16:00:00+00:00,267.93,268.0,258.52,259.52,46825.45,12273288.1979,271.4678402682518,274.58884769500065,274.70614041514796,276.1742316479324,276.76046133415184,277.06588078606376,,,,,
1770998400000,2026-02-13T16:00:00+00:00,259.52,260.41,254.18,255.11,5559.57,1424439.6232,267.8327646530847,272.7337193430958,272.92467310468,275.3481833480135,276.331739327535,276.8474143105805,,,,,
1771084800000,2026-02-14T16:00:00+00:00,255.11,255.4,254.94,255.4,3536.5,902301.1898,265.06992806351036,271.08288892946763,271.3315210042545,274.56590164809137,275.917249439861,276.6340072030126,,,,,
1771171200000,2026-02-15T16:00:00+00:00,255.4,255.67,254.61,255.27,1382.77,353229.4127,262.8921662716192,269.5768995076136,269.87138273114044,273.80919962267603,275.50839301530925,276.42143001691295,,,,,
1771257600000,2026-02-16T16:00:00+00:00,255.27,261.35,253.64,259.1,10387.47,2670991.5286,262.0494626557038,268.57909955450754,268.8921661192186,273.23236826492405,275.18347434173876,276.24907747943126,,,,,
1771344000000,2026-02-17T16:00:00+00:00,259.1,266.15,259.1,265.13,10563.62,2783639.8766,262.73402650999185,268.2506138826497,268.5501510174714,272.91462833296623,274.9843956419023,276.1384398925713,,,,,
1771430400000,2026-02-18T16:00:00+00:00,265.13,266.76,261.78,263.79,4982.73,1315067.5127,262.9686872855492,267.82579351287353,268.1174100158831,272.55679977088914,274.7627244410726,276.015569843889,,,,,
1771516800000,2026-02-19T16:00:00+00:00,263.79,264.41,258.35,262.63,12618.03,3293633.1104,262.89342344431606,267.330956035457,267.6185545598937,272.16751350536407,274.5224724719424,275.8823800941986,,,,,
1771603200000,2026-02-20T16:00:00+00:00,262.63,264.65,261.15,264.56,15480.91,4090167.9236,263.2637737900236,267.06705546065155,267.3405041453579,271.8691796424086,274.32519578932965,275.7697195957488,,,,,
1771689600000,2026-02-21T16:00:00+00:00,264.56,264.64,263.93,264.04,6349.25,1678716.6342,263.4362685033517,266.778764464399,267.0404583139617,271.56215298976514,274.1215285459766,275.6530059679304,36.76587301587302,5.397857142857147,20.841603811036073,36.65475717877453,
1771776000000,2026-02-22T16:00:00+00:00,264.04,267.59,262.23,266.86,14856.41,3911962.2891,264.1970977248291,266.7865011820753,267.0240530126925,271.37775483330375,273.97773590150183,275.5655133712346,40.35959002706282,5.39515306122449,23.268239633079524,34.05361955648012,
1771862400000,2026-02-23T16:00:00+00:00,266.86,274.7,264.65,273.82,21710.92,5851631.8634,266.33552045264486,267.45635821235385,267.64186637517497,271.47352915356635,273.97461241830376,275.5481450789835,48.18633958633958,5.727642128279884,29.218758450433107,29.785609528748097,
1771948800000,2026-02-24T16:00:00+00:00,273.82,274.63,270.47,273.2,23046.31,6263217.1097,267.8609603520571,268.0033717159392,268.147151250159,271.54123389264214,273.95927355853536,275.52478045133194,47.58724075223324,5.615667690545605,27.67270091167495,28.209558094648056,
1772035200000,2026-02-25T16:00:00+00:00,273.2,276.0,270.54,270.87,20907.55,5714663.4005,268.52963582937775,268.27638393346876,268.39468295469,271.51491099489147,273.89809982470297,275.47846422793566,45.30745957307249,5.604548569792345,27.493089823055882,26.24655830618868,
1772121600000,2026-02-26T16:00:00+00:00,270.87,273.38,267.97,268.64,12551.68,3403226.9347,268.55416120062716,268.3110140350432,268.4169845042636,271.4021693872487,273.793979036095,275.41041980775725,43.17552490559482,5.590652243378605,25.592754233936795,27.71592582689164,
